Municipios;Sexo;Periodo;Total
08 Barcelona;Total;2020;5.743.402
08001 Abrera;Total;2020;12.538
08002 Aguilar de Segarra;Total;2020;282
08014 Aiguafreda;Total;2020;2.512
08003 Alella;Total;2020;9.904
08004 Alpens;Total;2020;261
08005 Ametlla del Vallès, L';Total;2020;8.646
08006 Arenys de Mar;Total;2020;15.941
08007 Arenys de Munt;Total;2020;9.121
08008 Argençola;Total;2020;219
08009 Argentona;Total;2020;12.536
08010 Artés;Total;2020;5.762
08011 Avià;Total;2020;2.220
08012 Avinyó;Total;2020;2.289
08013 Avinyonet del Penedès;Total;2020;1.697
08015 Badalona;Total;2020;223.166
08904 Badia del Vallès;Total;2020;13.415
08016 Bagà;Total;2020;2.140
08017 Balenyà;Total;2020;3.840
08018 Balsareny;Total;2020;3.192
08252 Barberà del Vallès;Total;2020;33.334
08019 Barcelona;Total;2020;1.664.182
08020 Begues;Total;2020;7.300
08021 Bellprat;Total;2020;64
08022 Berga;Total;2020;16.760
08023 Bigues i Riells;Total;2020;9.358
08024 Borredà;Total;2020;464
08025 Bruc, El;Total;2020;2.110
08026 Brull, El;Total;2020;258
08027 Cabanyes, Les;Total;2020;979
08028 Cabrera d'Anoia;Total;2020;1.482
08029 Cabrera de Mar;Total;2020;4.747
08030 Cabrils;Total;2020;7.432
08031 Calaf;Total;2020;3.656
08034 Calders;Total;2020;1.045
08033 Caldes de Montbui;Total;2020;17.812
08032 Caldes d'Estrac;Total;2020;3.021
08035 Calella;Total;2020;19.277
08037 Calldetenes;Total;2020;2.513
08038 Callús;Total;2020;2.129
08036 Calonge de Segarra;Total;2020;188
08039 Campins;Total;2020;541
08040 Canet de Mar;Total;2020;14.865
08041 Canovelles;Total;2020;16.829
08042 Cànoves i Samalús;Total;2020;3.156
08043 Canyelles;Total;2020;4.699
08044 Capellades;Total;2020;5.342
08045 Capolat;Total;2020;84
08046 Cardedeu;Total;2020;18.424
08047 Cardona;Total;2020;4.639
08048 Carme;Total;2020;785
08049 Casserres;Total;2020;1.588
08057 Castell de l'Areny;Total;2020;67
08052 Castellar de n'Hug;Total;2020;156
08050 Castellar del Riu;Total;2020;176
08051 Castellar del Vallès;Total;2020;24.488
08053 Castellbell i el Vilar;Total;2020;3.719
08054 Castellbisbal;Total;2020;12.539
08055 Castellcir;Total;2020;742
08056 Castelldefels;Total;2020;67.460
08058 Castellet i la Gornal;Total;2020;2.382
08060 Castellfollit de Riubregós;Total;2020;162
08059 Castellfollit del Boix;Total;2020;447
08061 Castellgalí;Total;2020;2.119
08062 Castellnou de Bages;Total;2020;1.437
08063 Castellolí;Total;2020;626
08064 Castellterçol;Total;2020;2.548
08065 Castellví de la Marca;Total;2020;1.575
08066 Castellví de Rosanes;Total;2020;1.933
08067 Centelles;Total;2020;7.513
08268 Cercs;Total;2020;1.150
08266 Cerdanyola del Vallès;Total;2020;57.855
08068 Cervelló;Total;2020;9.077
08069 Collbató;Total;2020;4.544
08070 Collsuspina;Total;2020;359
08071 Copons;Total;2020;321
08072 Corbera de Llobregat;Total;2020;14.882
08073 Cornellà de Llobregat;Total;2020;89.936
08074 Cubelles;Total;2020;15.770
08075 Dosrius;Total;2020;5.652
08076 Esparreguera;Total;2020;22.302
08077 Esplugues de Llobregat;Total;2020;47.150
08078 Espunyola, L';Total;2020;242
08254 Esquirol, L';Total;2020;2.186
08079 Estany, L';Total;2020;408
08134 Figaró-Montmany;Total;2020;1.142
08080 Fígols;Total;2020;43
08082 Fogars de la Selva;Total;2020;1.469
08081 Fogars de Montclús;Total;2020;475
08083 Folgueroles;Total;2020;2.265
08084 Fonollosa;Total;2020;1.459
08085 Font-rubí;Total;2020;1.414
08086 Franqueses del Vallès, Les;Total;2020;20.364
08090 Gaià;Total;2020;183
08087 Gallifa;Total;2020;167
08088 Garriga, La;Total;2020;16.668
08089 Gavà;Total;2020;47.057
08091 Gelida;Total;2020;7.670
08092 Gironella;Total;2020;4.946
08093 Gisclareny;Total;2020;26
08094 Granada, La;Total;2020;2.208
08095 Granera;Total;2020;77
08096 Granollers;Total;2020;62.419
08097 Gualba;Total;2020;1.548
08099 Guardiola de Berguedà;Total;2020;941
08100 Gurb;Total;2020;2.713
08101 Hospitalet de Llobregat, L';Total;2020;269.382
08162 Hostalets de Pierola, Els;Total;2020;2.980
08102 Igualada;Total;2020;40.742
