Municipios;Sexo;Periodo;Total
25 Lleida;Total;2020;438.517
25001 Abella de la Conca;Total;2020;183
25002 Àger;Total;2020;580
25003 Agramunt;Total;2020;5.411
25038 Aitona;Total;2020;2.567
25004 Alamús, Els;Total;2020;811
25005 Alàs i Cerc;Total;2020;320
25006 Albagés, L';Total;2020;361
25007 Albatàrrec;Total;2020;2.236
25008 Albesa;Total;2020;1.561
25009 Albi, L';Total;2020;744
25010 Alcanó;Total;2020;238
25011 Alcarràs;Total;2020;9.707
25012 Alcoletge;Total;2020;3.435
25013 Alfarràs;Total;2020;2.765
25014 Alfés;Total;2020;297
25015 Algerri;Total;2020;404
25016 Alguaire;Total;2020;3.029
25017 Alins;Total;2020;272
25019 Almacelles;Total;2020;6.826
25020 Almatret;Total;2020;305
25021 Almenar;Total;2020;3.357
25022 Alòs de Balaguer;Total;2020;132
25023 Alpicat;Total;2020;6.266
25024 Alt Àneu;Total;2020;414
25027 Anglesola;Total;2020;1.365
25029 Arbeca;Total;2020;2.126
25031 Arres;Total;2020;60
25032 Arsèguel;Total;2020;81
25033 Artesa de Lleida;Total;2020;1.535
25034 Artesa de Segre;Total;2020;3.400
25036 Aspa;Total;2020;220
25037 Avellanes i Santa Linya, Les;Total;2020;433
25039 Baix Pallars;Total;2020;331
25040 Balaguer;Total;2020;17.472
25041 Barbens;Total;2020;878
25042 Baronia de Rialb, La;Total;2020;229
25044 Bassella;Total;2020;217
25045 Bausen;Total;2020;60
25046 Belianes;Total;2020;520
25170 Bellaguarda;Total;2020;287
25047 Bellcaire d'Urgell;Total;2020;1.199
25048 Bell-lloc d'Urgell;Total;2020;2.335
25049 Bellmunt d'Urgell;Total;2020;185
25050 Bellpuig;Total;2020;5.218
25051 Bellver de Cerdanya;Total;2020;2.005
25052 Bellvís;Total;2020;2.260
25053 Benavent de Segrià;Total;2020;1.518
25055 Biosca;Total;2020;177
25057 Bòrdes, Es;Total;2020;255
25058 Borges Blanques, Les;Total;2020;6.173
25059 Bossòst;Total;2020;1.115
25056 Bovera;Total;2020;248
25060 Cabanabona;Total;2020;71
25061 Cabó;Total;2020;93
25062 Camarasa;Total;2020;810
25063 Canejan;Total;2020;89
25904 Castell de Mur;Total;2020;173
25064 Castellar de la Ribera;Total;2020;131
25067 Castelldans;Total;2020;930
25068 Castellnou de Seana;Total;2020;665
25069 Castelló de Farfanya;Total;2020;539
25070 Castellserà;Total;2020;996
25071 Cava;Total;2020;45
25072 Cervera;Total;2020;9.350
25073 Cervià de les Garrigues;Total;2020;662
25074 Ciutadilla;Total;2020;208
25075 Clariana de Cardener;Total;2020;161
25076 Cogul, El;Total;2020;151
25077 Coll de Nargó;Total;2020;540
25163 Coma i la Pedra, La;Total;2020;255
25161 Conca de Dalt;Total;2020;410
25078 Corbins;Total;2020;1.462
25079 Cubells;Total;2020;338
25081 Espluga Calba, L';Total;2020;329
25082 Espot;Total;2020;366
25088 Estamariu;Total;2020;125
25085 Estaràs;Total;2020;156
25086 Esterri d'Àneu;Total;2020;804
25087 Esterri de Cardós;Total;2020;64
25089 Farrera;Total;2020;108
25908 Fígols i Alinyà;Total;2020;244
25092 Floresta, La;Total;2020;140
25093 Fondarella;Total;2020;776
25094 Foradada;Total;2020;203
25096 Fuliola, La;Total;2020;1.250
25097 Fulleda;Total;2020;102
25098 Gavet de la Conca;Total;2020;261
25912 Gimenells i el Pla de la Font;Total;2020;1.120
25099 Golmés;Total;2020;1.855
25100 Gósol;Total;2020;206
25101 Granadella, La;Total;2020;716
25102 Granja d'Escarp, La;Total;2020;922
25103 Granyanella;Total;2020;143
25105 Granyena de les Garrigues;Total;2020;140
25104 Granyena de Segarra;Total;2020;151
25109 Guimerà;Total;2020;271
25903 Guingueta d'Àneu, La;Total;2020;289
25110 Guissona;Total;2020;7.248
25111 Guixers;Total;2020;132
25115 Isona i Conca Dellà;Total;2020;1.042
25112 Ivars de Noguera;Total;2020;332
25113 Ivars d'Urgell;Total;2020;1.537
25114 Ivorra;Total;2020;108
25910 Josa i Tuixén;Total;2020;103
25118 Juncosa;Total;2020;395
25119 Juneda;Total;2020;3.501
25121 Les;Total;2020;971
25122 Linyola;Total;2020;2.717
25123 Lladorre;Total;2020;237
25124 Lladurs;Total;2020;180
25125 Llardecans;Total;2020;444
25126 Llavorsí;Total;2020;346
25120 Lleida;Total;2020;140.403
25127 Lles de Cerdanya;Total;2020;270
25128 Llimiana;Total;2020;146
25129 Llobera;Total;2020;188
25133 Maials;Total;2020;909
25130 Maldà;Total;2020;227
25131 Massalcoreig;Total;2020;610
25132 Massoteres;Total;2020;212
25134 Menàrguens;Total;2020;813
25135 Miralcamp;Total;2020;1.385
25137 Mollerussa;Total;2020;14.649
25136 Molsosa, La;Total;2020;104
25139 Montellà i Martinet;Total;2020;578
25140 Montferrer i Castellbò;Total;2020;1.034
25138 Montgai;Total;2020;643
25142 Montoliu de Lleida;Total;2020;483
25141 Montoliu de Segarra;Total;2020;187
25143 Montornès de Segarra;Total;2020;96
25145 Nalec;Total;2020;90
25025 Naut Aran;Total;2020;1.836
25146 Navès;Total;2020;284
25148 Odèn;Total;2020;258
25149 Oliana;Total;2020;1.843
25150 Oliola;Total;2020;203
25151 Olius;Total;2020;981
25152 Oluges, Les;Total;2020;171
25153 Omellons, Els;Total;2020;206
25154 Omells de na Gaia, Els;Total;2020;130
25155 Organyà;Total;2020;771
25156 Os de Balaguer;Total;2020;980
25157 Ossó de Sió;Total;2020;203
25158 Palau d'Anglesola, El;Total;2020;2.166
25164 Penelles;Total;2020;436
25165 Peramola;Total;2020;347
25166 Pinell de Solsonès;Total;2020;193
25167 Pinós;Total;2020;286
25911 Plans de Sió, Els;Total;2020;491
25168 Poal, El;Total;2020;670
25169 Pobla de Cérvoles, La;Total;2020;189
25171 Pobla de Segur, La;Total;2020;3.043
25030 Pont de Bar, El;Total;2020;152
25173 Pont de Suert, El;Total;2020;2.257
25172 Ponts;Total;2020;2.644
25174 Portella, La;Total;2020;743
25175 Prats i Sansor;Total;2020;222
25176 Preixana;Total;2020;387
25177 Preixens;Total;2020;418
25179 Prullans;Total;2020;226
25180 Puiggròs;Total;2020;278
25181 Puigverd d'Agramunt;Total;2020;229
25182 Puigverd de Lleida;Total;2020;1.349
25183 Rialp;Total;2020;641
25905 Ribera d'Ondara;Total;2020;433
25185 Ribera d'Urgellet;Total;2020;932
25186 Riner;Total;2020;263
25913 Riu de Cerdanya;Total;2020;93
