"","COD_INE","Municipio","Poblacion"
"1","08001","Abrera",12538
"2","08002","Aguilar de Segarra",282
"3","08014","Aiguafreda",2512
"4","08003","Alella",9904
"5","08004","Alpens",261
"6","08005","Ametlla del Vallès, L'",8646
"7","08006","Arenys de Mar",15941
"8","08007","Arenys de Munt",9121
"9","08008","Argençola",219
"10","08009","Argentona",12536
"11","08010","Artés",5762
"12","08011","Avià",2220
"13","08012","Avinyó",2289
"14","08013","Avinyonet del Penedès",1697
"15","08015","Badalona",223166
"16","08904","Badia del Vallès",13415
"17","08016","Bagà",2140
"18","08017","Balenyà",3840
"19","08018","Balsareny",3192
"20","08252","Barberà del Vallès",33334
"21","08019","Barcelona",1664182
"22","08020","Begues",7300
"23","08021","Bellprat",64
"24","08022","Berga",16760
"25","08023","Bigues i Riells",9358
"26","08024","Borredà",464
"27","08025","Bruc, El",2110
"28","08026","Brull, El",258
"29","08027","Cabanyes, Les",979
"30","08028","Cabrera d'Anoia",1482
"31","08029","Cabrera de Mar",4747
"32","08030","Cabrils",7432
"33","08031","Calaf",3656
"34","08034","Calders",1045
"35","08033","Caldes de Montbui",17812
"36","08032","Caldes d'Estrac",3021
"37","08035","Calella",19277
"38","08037","Calldetenes",2513
"39","08038","Callús",2129
"40","08036","Calonge de Segarra",188
"41","08039","Campins",541
"42","08040","Canet de Mar",14865
"43","08041","Canovelles",16829
"44","08042","Cànoves i Samalús",3156
"45","08043","Canyelles",4699
"46","08044","Capellades",5342
"47","08045","Capolat",84
"48","08046","Cardedeu",18424
"49","08047","Cardona",4639
"50","08048","Carme",785
"51","08049","Casserres",1588
"52","08057","Castell de l'Areny",67
"53","08052","Castellar de n'Hug",156
"54","08050","Castellar del Riu",176
"55","08051","Castellar del Vallès",24488
"56","08053","Castellbell i el Vilar",3719
"57","08054","Castellbisbal",12539
"58","08055","Castellcir",742
"59","08056","Castelldefels",67460
"60","08058","Castellet i la Gornal",2382
"61","08060","Castellfollit de Riubregós",162
"62","08059","Castellfollit del Boix",447
"63","08061","Castellgalí",2119
"64","08062","Castellnou de Bages",1437
"65","08063","Castellolí",626
"66","08064","Castellterçol",2548
"67","08065","Castellví de la Marca",1575
"68","08066","Castellví de Rosanes",1933
"69","08067","Centelles",7513
"70","08268","Cercs",1150
"71","08266","Cerdanyola del Vallès",57855
"72","08068","Cervelló",9077
"73","08069","Collbató",4544
"74","08070","Collsuspina",359
"75","08071","Copons",321
"76","08072","Corbera de Llobregat",14882
"77","08073","Cornellà de Llobregat",89936
"78","08074","Cubelles",15770
"79","08075","Dosrius",5652
"80","08076","Esparreguera",22302
"81","08077","Esplugues de Llobregat",47150
"82","08078","Espunyola, L'",242
"83","08254","Esquirol, L'",2186
"84","08079","Estany, L'",408
"85","08134","Figaró-Montmany",1142
"86","08080","Fígols",43
"87","08082","Fogars de la Selva",1469
"88","08081","Fogars de Montclús",475
"89","08083","Folgueroles",2265
"90","08084","Fonollosa",1459
"91","08085","Font-rubí",1414
"92","08086","Franqueses del Vallès, Les",20364
"93","08090","Gaià",183
"94","08087","Gallifa",167
"95","08088","Garriga, La",16668
"96","08089","Gavà",47057
"97","08091","Gelida",7670
"98","08092","Gironella",4946
"99","08093","Gisclareny",26
"100","08094","Granada, La",2208
"101","08095","Granera",77
"102","08096","Granollers",62419
"103","08097","Gualba",1548
"104","08099","Guardiola de Berguedà",941
"105","08100","Gurb",2713
"106","08101","Hospitalet de Llobregat, L'",269382
"107","08162","Hostalets de Pierola, Els",2980
"108","08102","Igualada",40742
"109","08103","Jorba",833
"110","08104","Llacuna, La",903
"111","08105","Llagosta, La",13587
"112","08107","Lliçà d'Amunt",15469
"113","08108","Lliçà de Vall",6497
"114","08106","Llinars del Vallès",10018
"115","08109","Lluçà",276
"116","08110","Malgrat de Mar",18772
"117","08111","Malla",272
"118","08112","Manlleu",20912
"119","08113","Manresa",78245
"120","08242","Marganell",266
"121","08114","Martorell",28772
"122","08115","Martorelles",4820
"123","08116","Masies de Roda, Les",719
"124","08117","Masies de Voltregà, Les",3132
"125","08118","Masnou, El",23831
"126","08119","Masquefa",9402
"127","08120","Matadepera",9496
"128","08121","Mataró",129661
"129","08122","Mediona",2369
"130","08138","Moià",6383
"131","08123","Molins de Rei",25940
"132","08124","Mollet del Vallès",51600
"133","08128","Monistrol de Calders",702
"134","08127","Monistrol de Montserrat",3139
"135","08125","Montcada i Reixac",36803
"136","08130","Montclar",139
"137","08131","Montesquiu",1030
"138","08126","Montgat",12200
"139","08132","Montmajor",469
"140","08133","Montmaneu",151
"141","08135","Montmeló",8831
"142","08136","Montornès del Vallès",16644
"143","08137","Montseny",351
"144","08129","Muntanyola",632
"145","08139","Mura",220
"146","08140","Navarcles",6057
"147","08141","Navàs",6018
"148","08142","Nou de Berguedà, La",162
"149","08143","Òdena",3668
"150","08145","Olèrdola",3768
"151","08146","Olesa de Bonesvalls",1840
"152","08147","Olesa de Montserrat",24144
"153","08148","Olivella",3935
"154","08149","Olost",1202
"155","08144","Olvan",858
"156","08150","Orís",322
"157","08151","Oristà",549
"158","08152","Orpí",151
"159","08153","Òrrius",758
"160","08154","Pacs del Penedès",918
"161","08155","Palafolls",9613
"162","08156","Palau-solità i Plegamans",14892
"163","08157","Pallejà",11622
"164","08905","Palma de Cervelló, La",2992
"165","08158","Papiol, El",4172
"166","08159","Parets del Vallès",19071
"167","08160","Perafita",405
"168","08161","Piera",16134
"169","08163","Pineda de Mar",27984
"170","08164","Pla del Penedès, El",1275
"171","08165","Pobla de Claramunt, La",2185
"172","08166","Pobla de Lillet, La",1093
"173","08167","Polinyà",8504
"174","08182","Pont de Vilomara i Rocafort, El",3907
"175","08168","Pontons",528
"176","08169","Prat de Llobregat, El",65385
"177","08171","Prats de Lluçanès",2604
"178","08170","Prats de Rei, Els",537
