"","X","COD_INE","Municipio","Poblacion"
"1",1,8001,"Abrera",12538
"2",2,8002,"Aguilar de Segarra",282
"3",3,8014,"Aiguafreda",2512
"4",4,8003,"Alella",9904
"5",5,8004,"Alpens",261
"6",6,8005,"L'Ametlla del Vallès",8646
"7",7,8006,"Arenys de Mar",15941
"8",8,8007,"Arenys de Munt",9121
"9",9,8008,"Argençola",219
"10",10,8009,"Argentona",12536
"11",11,8010,"Artés",5762
"12",12,8011,"Avià",2220
"13",13,8012,"Avinyó",2289
"14",14,8013,"Avinyonet del Penedès",1697
"15",15,8015,"Badalona",223166
"16",16,8904,"Badia del Vallès",13415
"17",17,8016,"Bagà",2140
"18",18,8017,"Balenyà",3840
"19",19,8018,"Balsareny",3192
"20",20,8252,"Barberà del Vallès",33334
"21",21,8019,"Barcelona",1664182
"22",22,8020,"Begues",7300
"23",23,8021,"Bellprat",64
"24",24,8022,"Berga",16760
"25",25,8023,"Bigues i Riells",9358
"26",26,8024,"Borredà",464
"27",27,8025,"El Bruc",2110
"28",28,8026,"El Brull",258
"29",29,8027,"Les Cabanyes",979
"30",30,8028,"Cabrera d'Anoia",1482
"31",31,8029,"Cabrera de Mar",4747
"32",32,8030,"Cabrils",7432
"33",33,8031,"Calaf",3656
"34",34,8034,"Calders",1045
"35",35,8033,"Caldes de Montbui",17812
"36",36,8032,"Caldes d'Estrac",3021
"37",37,8035,"Calella",19277
"38",38,8037,"Calldetenes",2513
"39",39,8038,"Callús",2129
"40",40,8036,"Calonge de Segarra",188
"41",41,8039,"Campins",541
"42",42,8040,"Canet de Mar",14865
"43",43,8041,"Canovelles",16829
"44",44,8042,"Cànoves i Samalús",3156
"45",45,8043,"Canyelles",4699
"46",46,8044,"Capellades",5342
"47",47,8045,"Capolat",84
"48",48,8046,"Cardedeu",18424
"49",49,8047,"Cardona",4639
"50",50,8048,"Carme",785
"51",51,8049,"Casserres",1588
"52",52,8057,"Castell de l'Areny",67
"53",53,8052,"Castellar de n'Hug",156
"54",54,8050,"Castellar del Riu",176
"55",55,8051,"Castellar del Vallès",24488
"56",56,8053,"Castellbell i el Vilar",3719
"57",57,8054,"Castellbisbal",12539
"58",58,8055,"Castellcir",742
"59",59,8056,"Castelldefels",67460
"60",60,8058,"Castellet i la Gornal",2382
"61",61,8060,"Castellfollit de Riubregós",162
"62",62,8059,"Castellfollit del Boix",447
"63",63,8061,"Castellgalí",2119
"64",64,8062,"Castellnou de Bages",1437
"65",65,8063,"Castellolí",626
"66",66,8064,"Castellterçol",2548
"67",67,8065,"Castellví de la Marca",1575
"68",68,8066,"Castellví de Rosanes",1933
"69",69,8067,"Centelles",7513
"70",70,8268,"Cercs",1150
"71",71,8266,"Cerdanyola del Vallès",57855
"72",72,8068,"Cervelló",9077
"73",73,8069,"Collbató",4544
"74",74,8070,"Collsuspina",359
"75",75,8071,"Copons",321
"76",76,8072,"Corbera de Llobregat",14882
"77",77,8073,"Cornellà de Llobregat",89936
"78",78,8074,"Cubelles",15770
"79",79,8075,"Dosrius",5652
"80",80,8076,"Esparreguera",22302
"81",81,8077,"Esplugues de Llobregat",47150
"82",82,8078,"L'Espunyola",242
"83",83,8254,"L'Esquirol",2186
"84",84,8079,"L'Estany",408
"85",85,8134,"Figaró-Montmany",1142
"86",86,8080,"Fígols",43
"87",87,8082,"Fogars de la Selva",1469
"88",88,8081,"Fogars de Montclús",475
"89",89,8083,"Folgueroles",2265
"90",90,8084,"Fonollosa",1459
"91",91,8085,"Font-rubí",1414
"92",92,8086,"Les Franqueses del Vallès",20364
"93",93,8090,"Gaià",183
"94",94,8087,"Gallifa",167
"95",95,8088,"La Garriga",16668
"96",96,8089,"Gavà",47057
"97",97,8091,"Gelida",7670
"98",98,8092,"Gironella",4946
"99",99,8093,"Gisclareny",26
"100",100,8094,"La Granada",2208
"101",101,8095,"Granera",77
"102",102,8096,"Granollers",62419
"103",103,8097,"Gualba",1548
"104",104,8099,"Guardiola de Berguedà",941
"105",105,8100,"Gurb",2713
"106",106,8101,"L'Hospitalet de Llobregat",269382
"107",107,8162,"Els Hostalets de Pierola",2980
"108",108,8102,"Igualada",40742
"109",109,8103,"Jorba",833
"110",110,8104,"La Llacuna",903
"111",111,8105,"La Llagosta",13587
"112",112,8107,"Lliçà d'Amunt",15469
"113",113,8108,"Lliçà de Vall",6497
"114",114,8106,"Llinars del Vallès",10018
"115",115,8109,"Lluçà",276
"116",116,8110,"Malgrat de Mar",18772
"117",117,8111,"Malla",272
"118",118,8112,"Manlleu",20912
"119",119,8113,"Manresa",78245
"120",120,8242,"Marganell",266
"121",121,8114,"Martorell",28772
"122",122,8115,"Martorelles",4820
"123",123,8116,"Les Masies de Roda",719
"124",124,8117,"Les Masies de Voltregà",3132
"125",125,8118,"El Masnou",23831
"126",126,8119,"Masquefa",9402
"127",127,8120,"Matadepera",9496
"128",128,8121,"Mataró",129661
"129",129,8122,"Mediona",2369
"130",130,8138,"Moià",6383
"131",131,8123,"Molins de Rei",25940
"132",132,8124,"Mollet del Vallès",51600
"133",133,8128,"Monistrol de Calders",702
"134",134,8127,"Monistrol de Montserrat",3139
"135",135,8125,"Montcada i Reixac",36803
"136",136,8130,"Montclar",139
"137",137,8131,"Montesquiu",1030
"138",138,8126,"Montgat",12200
"139",139,8132,"Montmajor",469
"140",140,8133,"Montmaneu",151
"141",141,8135,"Montmeló",8831
"142",142,8136,"Montornès del Vallès",16644
"143",143,8137,"Montseny",351
"144",144,8129,"Muntanyola",632
"145",145,8139,"Mura",220
"146",146,8140,"Navarcles",6057
"147",147,8141,"Navàs",6018
"148",148,8142,"La Nou de Berguedà",162
"149",149,8143,"Òdena",3668
"150",150,8145,"Olèrdola",3768
"151",151,8146,"Olesa de Bonesvalls",1840
"152",152,8147,"Olesa de Montserrat",24144
"153",153,8148,"Olivella",3935
"154",154,8149,"Olost",1202
"155",155,8144,"Olvan",858
"156",156,8150,"Orís",322
"157",157,8151,"Oristà",549
"158",158,8152,"Orpí",151
"159",159,8153,"Òrrius",758
"160",160,8154,"Pacs del Penedès",918
"161",161,8155,"Palafolls",9613
"162",162,8156,"Palau-solità i Plegamans",14892
"163",163,8157,"Pallejà",11622
"164",164,8905,"La Palma de Cervelló",2992
"165",165,8158,"El Papiol",4172
"166",166,8159,"Parets del Vallès",19071
"167",167,8160,"Perafita",405
"168",168,8161,"Piera",16134
"169",169,8163,"Pineda de Mar",27984
"170",170,8164,"El Pla del Penedès",1275
"171",171,8165,"La Pobla de Claramunt",2185
"172",172,8166,"La Pobla de Lillet",1093
"173",173,8167,"Polinyà",8504
"174",174,8182,"El Pont de Vilomara i Rocafort",3907
"175",175,8168,"Pontons",528
"176",176,8169,"El Prat de Llobregat",65385
"177",177,8171,"Prats de Lluçanès",2604
"178",178,8170,"Els Prats de Rei",537
"179",179,8230,"Premià de Dalt",10441
"180",180,8172,"Premià de Mar",28531
"181",181,8174,"Puigdàlber",524
"182",182,8175,"Puig-reig",4295
"183",183,8176,"Pujalt",210
"184",184,8177,"La Quar",49
"185",185,8178,"Rajadell",534
"186",186,8179,"Rellinars",809
"187",187,8180,"Ripollet",39179
"188",188,8181,"La Roca del Vallès",10754
"189",189,8183,"Roda de Ter",6490
"190",190,8184,"Rubí",78591
"191",191,8185,"Rubió",239
"192",192,8901,"Rupit i Pruit",271
"193",193,8187,"Sabadell",216520
"194",194,8188,"Sagàs",145
"195",195,8190,"Saldes",278
"196",196,8191,"Sallent",6735
"197",197,8194,"Sant Adrià de Besòs",37447
"198",198,8195,"Sant Agustí de Lluçanès",89
"199",199,8196,"Sant Andreu de la Barca",27569
"200",200,8197,"Sant Andreu de Llavaneres",11133
"201",201,8198,"Sant Antoni de Vilamajor",6208
"202",202,8199,"Sant Bartomeu del Grau",884
"203",203,8200,"Sant Boi de Llobregat",84500
"204",204,8201,"Sant Boi de Lluçanès",580
"205",205,8203,"Sant Cebrià de Vallalta",3438
"206",206,8202,"Sant Celoni",18136
"207",207,8204,"Sant Climent de Llobregat",4160
"208",208,8205,"Sant Cugat del Vallès",92977
"209",209,8206,"Sant Cugat Sesgarrigues",1009
"210",210,8207,"Sant Esteve de Palautordera",2864
