FID,autonomia,carretera,causa,fechahora_,hacia,matricula,nivel,pk_final,pk_inicial,poblacion,provincia,ref_incide,sentido,tipo,tipolocali,version_in,x,xml_fragme,xml_id,xml_matche,xml_parent,xml_pare_1,y,X1,Y1,actualizad
1,COMUNITAT VALENCIANA,CV-797,NIEVE,2021/01/13 08:56:00,Ambos,A,VERDE,8.6,0,ALCOY,ALICANTE/ALACANT,OA101138121,Ambos sentidos,METEOROLOGICA,0,1,38.68416,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>COMUNITAT VALENCIANA</autonomia>
<provincia>ALICANTE/ALACANT</provincia>
<matricula>A</matricula>
<causa>NIEVE</causa>
<poblacion>ALCOY</poblacion>
<fechahora_in",id-incidencia-1.1,incidencia, , ,-0.47239,-0.47239,38.68416,2021/01/19 21:31:00
2,COMUNITAT VALENCIANA,CV-780,NIEVE,2021/01/13 09:21:00,Ambos,A,VERDE,22.5,13.8,XIXONA,ALICANTE/ALACANT,OA101138113,Ambos sentidos,METEOROLOGICA,0,1,38.6147883,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>COMUNITAT VALENCIANA</autonomia>
<provincia>ALICANTE/ALACANT</provincia>
<matricula>A</matricula>
<causa>NIEVE</causa>
<poblacion>XIXONA</poblacion>
<fechahora_i",id-incidencia-1.2,incidencia, , ,-0.4182328,-0.4182328,38.6147883,2021/01/19 21:31:00
3,CASTILLA-LA MANCHA,AB-508,NIEVE,2021/01/16 15:01:00,Ambos,AB,AMARILLO,8,2,MOLINICOS,ALBACETE,AB101119186,Ambos sentidos,METEOROLOGICA,0,6,38.4760569,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa>NIEVE</causa>
<poblacion>MOLINICOS</poblacion>
<fechahora_ini>202",id-incidencia-1.3,incidencia, , ,-2.2218069,-2.2218069,38.4760569,2021/01/19 21:31:00
4,CASTILLA-LA MANCHA,AB-5017,NIEVE,2021/01/13 13:34:00,Ambos,AB,VERDE,4,0,MOLINICOS,ALBACETE,AB101078223,Ambos sentidos,METEOROLOGICA,0,3,38.4914,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa>NIEVE</causa>
<poblacion>MOLINICOS</poblacion>
<fechahora_ini>202",id-incidencia-1.4,incidencia, , ,-2.2824,-2.2824,38.4914,2021/01/19 21:31:00
5,CASTILLA-LA MANCHA,AB-702,NIEVE,2021/01/19 19:15:00,Ambos,AB,VERDE,21,0,MUNERA,ALBACETE,AB101078224,Ambos sentidos,METEOROLOGICA,0,6,39.04881,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa>NIEVE</causa>
<poblacion>MUNERA</poblacion>
<fechahora_ini>2021-0",id-incidencia-1.5,incidencia, , ,-2.47829,-2.47829,39.04881,2021/01/19 21:31:00
6,CASTILLA-LA MANCHA,CM-3225,NIEVE,2021/01/13 17:52:00,Ambos,AB,VERDE,60,48,NERPIO,ALBACETE,AB101098275,Ambos sentidos,METEOROLOGICA,0,4,38.2220022,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa>NIEVE</causa>
<poblacion>NERPIO</poblacion>
<fechahora_ini>2021-0",id-incidencia-1.6,incidencia, , ,-2.3174447,-2.3174447,38.2220022,2021/01/19 21:31:00
7,CASTILLA-LA MANCHA,AB-505,NIEVE,2021/01/12 12:43:00,Ambos,AB,VERDE,12,9,PEÑAS DE SAN PEDRO,ALBACETE,AB101019078,Ambos sentidos,METEOROLOGICA,0,6,38.7435648,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa>NIEVE</causa>
<poblacion>PEÑAS DE SAN PEDRO</poblacion>
<fechaho",id-incidencia-1.7,incidencia, , ,-2.0926212,-2.0926212,38.7435648,2021/01/19 21:31:00
8,CASTILLA-LA MANCHA,AB-515,NIEVE,2021/01/07 15:11:00,Ambos,AB,ROJO,17,0,PEÑASCOSA,ALBACETE,AB101079158,Ambos sentidos,METEOROLOGICA,0,2,38.67384,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa>NIEVE</causa>
<poblacion>PEÑASCOSA</poblacion>
<fechahora_ini>20",id-incidencia-1.8,incidencia, , ,-2.40577,-2.40577,38.67384,2021/01/19 21:31:00
9,CASTILLA-LA MANCHA,AB-516,NIEVE,2021/01/19 16:49:00,Ambos,AB,AMARILLO,24,0,RIOPAR,ALBACETE,AB101018031,Ambos sentidos,METEOROLOGICA,1,13,38.4998099,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa>NIEVE</causa>
<poblacion>RIOPAR</poblacion>
<fechahora_ini>2021-0",id-incidencia-1.9,incidencia, , ,-2.4183931,-2.4183931,38.4998099,2021/01/19 21:31:00
10,ANDALUCIA,AL-4404,HIELO,2021/01/17 14:39:00,Ambos,AL,AMARILLO,28,23,AULAGO,ALMERIA,AL101109119,Ambos sentidos,METEOROLOGICA,0,4,37.2112658,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>ALMERIA</provincia>
<matricula>AL</matricula>
<causa>HIELO</causa>
<poblacion>AULAGO</poblacion>
<fechahora_ini>2021-01-17 14:39",id-incidencia-1.10,incidencia, , ,-2.6070465,-2.6070465,37.2112658,2021/01/19 21:31:00
