"","FID","Nombre_de_","Nombre_d_1","Descripcio","Operador","Longitude","Latitude","Municipio","Poblacion","COD_INE"
"1",318,"la Ràpita del Penedès","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.64691947600005,41.309235503,"Santa Margarida i els Monjos",7676,8251
"2",326,"Monjos, Els (La Pista)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.66521636700003,41.322329778,"Santa Margarida i els Monjos",7676,8251
"3",338,"Monjos, Els (Esglèsia)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.66172508100004,41.320109437,"Santa Margarida i els Monjos",7676,8251
"4",5465,"Altafulla(Centre comercial)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.36863015900002,41.1402422410001,"Altafulla",5307,43012
"5",5476,"Altafulla (Benzinera)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.36688083000007,41.1401543960001,"Altafulla",5307,43012
"6",5546,"Av. dels Herois de 1808, 97","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.60453094400003,41.265727837,"L'Arboç",5609,43016
"7",5551,"Arboç, L' (Pl. Catalunya)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.60520175300007,41.2673032660001,"L'Arboç",5609,43016
"8",5636,"Bonastre (c. Figuerola/Plaça de la Munta","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.44257966400005,41.223063145,"Bonastre",685,43030
"9",5702,"Pl. de l'Estació (marquesina urbana)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.57479738300003,41.1897364800001,"Calafell",27601,43037
"10",6490,"la Pobla de Montornès","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41591997000006,41.177400876,"La Pobla de Montornès",2884,43111
"11",6511,"Urb. Castell de Montornès","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40460260100002,41.192773523,"La Pobla de Montornès",2884,43111
"12",6532,"Poblamar","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41529143600008,41.1703393550001,"La Pobla de Montornès",2884,43111
"13",7142,"Pg. de la Sort, 19 (marquesina)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.39869195900008,41.1436636560001,"Torredembarra",16567,43153
"14",7156,"Ctra. Pobla de Montornés, 33 (Clarà)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41689237100007,41.151373522,"Torredembarra",16567,43153
"15",7167,"Pg. Miramar (marquesina Tropic)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40799614900004,41.144729431,"Torredembarra",16567,43153
"16",7363,"C.Englantina-C.Primavera (marq. cruïlla","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.51968650400005,41.1896266700001,"El Vendrell",38373,43163
"17",7406,"Av. Palfuriana (Pl. Germans Trillas-Coma","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.52458663200002,41.181159414,"El Vendrell",38373,43163
"18",9028,"Camí del Moro (IES Ramon Torre)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41277527800003,41.1501278580001,"Torredembarra",16567,43153
"19",9099,"TP-2124 - Mare de Déu del Priorat (marqu","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.58399877500005,41.2794836800001,"Banyeres del Penedès",3207,43020
"20",9107,"Ctra. Barcelona, 27 (Les Mates)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.54355340300003,41.2242767130001,"El Vendrell",38373,43163
"21",9123,"Barà (Mas Roig)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.47622003600003,41.1769085170001,"Roda de Berà",6785,43131
"22",9132,"Pl. del Sol - C. Sòcrates (marquesina)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.45790364400006,41.1689722560001,"Creixell",3758,43050
"23",9149,"Av. Navarra - C. Pallars (pal parada)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.43746744800006,41.1676699160001,"Creixell",3758,43050
"24",9166,"Av. Juli Cèsar, 87 (pal parada - Racó de","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.43381141500004,41.1670257540001,"Creixell",3758,43050
"25",9183,"Av. Miramar (enfront CEIP l'Antina)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41402907500003,41.147550961,"Torredembarra",16567,43153
"26",9199,"pl. Penedès","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.69919522700008,41.3446699290001,"Vilafranca del Penedès",40154,8305
"27",9205,"Av. de la Platja, 45 (marquesina - El Pa","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.48313345500003,41.1774771930001,"Roda de Berà",6785,43131
"28",9212,"N-340-Av. Catalunya (marquesina cruïlla","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.44011885300006,41.162427451,"Creixell",3758,43050
"29",13666,"Av. dels Herois de 1808, 84","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.60455807300002,41.2655750380001,"L'Arboç",5609,43016
"30",13676,"Pl. Catalunya - C. Santa Llúcia (marques","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.59922645700004,41.2647986920001,"L'Arboç",5609,43016
"31",13682,"Ctra. de Tarragona, 4 (marq. Castellers)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.53459778600006,41.213939558,"El Vendrell",38373,43163
"32",13695,"Ctra. de Tarragona (marquesina - Urb. To","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.52665573600007,41.1962915550001,"El Vendrell",38373,43163
"33",13703,"C. d'Englantina,5 (marquesina cruïlla Co","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.52038982200003,41.1896357090001,"El Vendrell",38373,43163
"34",13710,"N-340 (pal parada El Francàs - Masia)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.50165046200004,41.1799895230001,"El Vendrell",38373,43163
"35",13718,"Pl. Gala Placídia (marquesina-el Francàs","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.48856054800007,41.1789176990001,"Roda de Berà",6785,43131
"36",13727,"N-340 - C. Punta del Banc (Marítima Resi","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.43428455800006,41.159168616,"Torredembarra",16567,43153
