"","FID","Nombre_de_","Nombre_d_1","Descripcio","Operador","Longitude","Latitude","Municipio","Poblacion","COD_INE"
"1",1,"Casino Rabassada - av. Can Cortès (A)","L0242","Barcelona-Sant Cugat del Vallès per Rabassada (A6)","Marfina Bus, SA",2.10951793000004,41.431274312,"Sant Cugat del Vallès",92977,8205
"2",2,"cruïlla Colònia Parès (D)","L0242","Barcelona-Sant Cugat del Vallès per Rabassada (A6)","Marfina Bus, SA",2.09095985600004,41.4497744930001,"Sant Cugat del Vallès",92977,8205
"3",3,"ctra. Rabassada (Mas del Bosc) (A)","L0242","Barcelona-Sant Cugat del Vallès per Rabassada (A6)","Marfina Bus, SA",2.09578304200005,41.446434734,"Sant Cugat del Vallès",92977,8205
"4",4,"Can Vasconcel (Rabassada-Oceà Atlàntic)","L0242","Barcelona-Sant Cugat del Vallès per Rabassada (A6)","Marfina Bus, SA",2.09034517900005,41.455210096,"Sant Cugat del Vallès",92977,8205
"5",6,"cruïlla ctra. Tibidabo","L0242","Barcelona-Sant Cugat del Vallès per Rabassada (A6)","Marfina Bus, SA",2.12201717700003,41.428307857,"Sant Cugat del Vallès",92977,8205
"6",8,"Estacio d'FGC de Sant Cugat","L0242","Barcelona-Sant Cugat del Vallès per Rabassada (A6)","Marfina Bus, SA",2.07874365400005,41.4678812070001,"Sant Cugat del Vallès",92977,8205
"7",9,"Estacio d'FGC de Sant Cugat","L0121","Barcelona-Terrassa-Sabadell-Barcelona (N61)","Marfina Bus, SA",2.07874365400005,41.4678812070001,"Sant Cugat del Vallès",92977,8205
"8",11,"Estacio d'FGC de Sant Cugat","L0136","Barcelona-UAB-Sant Cugat del Vallès (N62)","Autocares R. Font, SA i Martí Renom, SA",2.07874365400005,41.4678812070001,"Sant Cugat del Vallès",92977,8205
"9",15,"Estacio d'FGC de Sant Cugat","L0123","Barcelona-Sabadell-Terrassa-Barcelona (N64)","Marfina Bus, SA",2.07874365400005,41.4678812070001,"Sant Cugat del Vallès",92977,8205
"10",17,"el Portinyol","L1262","Sant Celoni - Vallgorguina - Arenys de Mar","Cingles Bus, SA",2.56323037900006,41.5802619510001,"Arenys de Mar",15941,8006
"11",19,"la Conreria - Seminari de Montalegre","L1284","Badalona - Sabadell (per Tiana i Montgat)","CRA La Hispània, SA",2.25396127900007,41.492354146,"Sant Fost de Campsentelles",8853,8209
"12",23,"la Conreria - Seminari de Montalegre","L1285","Badalona - Sabadell  Nord","CRA La Hispània, SA",2.25396127900007,41.492354146,"Sant Fost de Campsentelles",8853,8209
"13",26,"pl. Esbert","L1282","Urbà de Sant Fost de Campsentelles(St.Fost-Mollet)","CRA La Hispània, SA",2.22413603300004,41.527096278,"Sant Fost de Campsentelles",8853,8209
"14",27,"Pineda de Bages (pl.Santpedor) (D) MB052","L0658","Sant Fruitós-Brucardes-St.Fruitós-Pineda-St.Fruitó","Transbages, SL",1.83951565900003,41.7597336370001,"Sant Fruitós de Bages",8837,8213
"15",31,"Pineda de Bages (pl.Santpedor) (D) MB052","L0489","Manresa-Santpedor-Castellnou-Santa Anna de Claret","SA Alsina Graells de Auto Transportes",1.83951565900003,41.7597336370001,"Sant Fruitós de Bages",8837,8213
"16",34,"el Pont de Cabrianes","L0472","Manresa - Artés - Monistrol de Calders","Transportes Castellà, SA",1.90334152900004,41.7711328330001,"Sant Fruitós de Bages",8837,8213
"17",36,"el Pont de Cabrianes","L0474","Manresa - Artés - Santa Maria d'Oló","Transportes Castellà, SA",1.90334152900004,41.7711328330001,"Sant Fruitós de Bages",8837,8213
"18",42,"el Pont de Cabrianes","L0470","Manresa - Artés - Moià","Transportes Castellà, SA",1.90334152900004,41.7711328330001,"Sant Fruitós de Bages",8837,8213
"19",47,"el Pont de Cabrianes","L1363","Manresa - Vic (dissabtes)","Transportes Castellà, SA",1.90334152900004,41.7711328330001,"Sant Fruitós de Bages",8837,8213
"20",49,"el Pont de Cabrianes","L1364","Barcelona-Manresa-Prats de Lluçanès (diss.i fest.)","Transportes Castellà, SA",1.90334152900004,41.7711328330001,"Sant Fruitós de Bages",8837,8213
"21",51,"urb. les Brucardes (Piscines)","L0658","Sant Fruitós-Brucardes-St.Fruitós-Pineda-St.Fruitó","Transbages, SL",1.88547017800005,41.7415084200001,"Sant Fruitós de Bages",8837,8213
"22",54,"Sant Hipòlit de Voltregà (cr.)","L0208","Camprodon - Barcelona","Transportes Eléctricos Interurbanos, SA -TEISA-",2.23728510600006,42.0125681530001,"Sant Hipòlit de Voltregà",3540,8215
"23",60,"Sant Martí de Torroella (D) MB0543","L1446","Solsona - Manresa - Barcelona","SA Alsina Graells de Auto Transportes",1.78877754800004,41.770531453,"Sant Joan de Vilatorrada",10998,8218
"24",62,"el Torrentfondo","L1365","T-BUS","La Hispano Llacunense, SL",1.81149409200003,41.472392799,"Sant Llorenç d'Hortons",2428,8222
"25",85,"Sant Martí de Centelles","L0239","Castellterçol-Centelles-Tona-Vic","Empresa Sagalés, SA",2.20575175400006,41.765443324,"Sant Martí de Centelles",1184,8224
"26",87,"la Blava","L0574","Prats de Lluçanès-Sta.Eulàlia Puig-oriol-Prats L.","25 Osona Bus, SA",2.06970434700003,42.044935509,"Sant Martí d'Albars",114,8225
"27",88,"Heucària","L0183","les Borges Blanques-Guimerà-Igualada-Barcelona","La Hispano Igualadina, SAU",1.50816891500006,41.5610814950001,"Sant Martí de Tous",1228,8226
"28",94,"Heucària","L0381","Igualada - Tarragona","La Hispano Igualadina, SAU",1.50816891500006,41.5610814950001,"Sant Martí de Tous",1228,8226
"29",98,"Sant Martí de Tous","L0183","les Borges Blanques-Guimerà-Igualada-Barcelona","La Hispano Igualadina, SAU",1.52293123200008,41.5621367850001,"Sant Martí de Tous",1228,8226
"30",104,"Sant Martí de Tous","L1431","Sta.Coloma Queralt-St.Martí Tous-Jorba-Igualada","La Hispano Igualadina, SAU",1.52293123200008,41.5621367850001,"Sant Martí de Tous",1228,8226
"31",109,"Can Croset","L0568","Pontons - Vilafranca del Penedès - Barcelona","La Hispano Igualadina, SAU",1.58726042700005,41.383919102,"Sant Martí Sarroca",3261,8227
"32",123,"Can Sogues","L0568","Pontons - Vilafranca del Penedès - Barcelona","La Hispano Igualadina, SAU",1.63559903700002,41.3823047240001,"Sant Martí Sarroca",3261,8227
"33",137,"Pont de Baró","L0402","La Llacuna - Vilafranca del Penedès","La Hispano Llacunense, SL",1.59920331100005,41.3930544030001,"Sant Martí Sarroca",3261,8227
"34",139,"Sant Martí Sarroca","L0568","Pontons - Vilafranca del Penedès - Barcelona","La Hispano Igualadina, SAU",1.61127398600007,41.386229099,"Sant Martí Sarroca",3261,8227
"35",153,"Valls de Torroella","L1446","Solsona - Manresa - Barcelona","SA Alsina Graells de Auto Transportes",1.72207172100002,41.847671803,"Sant Mateu de Bages",608,8229
"36",158,"Can Puig","L0810","Vilafranca del Penedès-Sitges, per Olivella","Teresa y José Plana, Empresa Plana, SL",1.76671003400003,41.2606167930001,"Sant Pere de Ribes",31111,8231
"37",159,"els Plans de Ferran","L0183","les Borges Blanques-Guimerà-Igualada-Barcelona","La Hispano Igualadina, SAU",1.45745963100006,41.5689148340001,"Argençola",219,8008
"38",165,"els Plans de Ferran","L0381","Igualada - Tarragona","La Hispano Igualadina, SAU",1.45745963100006,41.5689148340001,"Argençola",219,8008
"39",169,"Sant Miquel del Fai","L0656","Sant Feliu de Codines - Sant Miquel del Fai","Empresa Sagalés, SA",2.18960304000007,41.716008371,"Sant Quirze Safaja",631,8239
"40",171,"cruïlla Monistrol d'Anoia MB0165","L0074","Barcelona - Santa Coloma de Queralt","La Hispano Llacunense, SL",1.78702287800007,41.4475655030001,"Sant Sadurní d'Anoia",12841,8240
"41",173,"cruïlla Monistrol d'Anoia MB0165","L0562","Piera - Vilarnau - Sant Sadurní d'Anoia","La Hispano Llacunense, SL",1.78702287800007,41.4475655030001,"Sant Sadurní d'Anoia",12841,8240
"42",175,"cruïlla Monistrol d'Anoia MB0165","L1365","T-BUS","La Hispano Llacunense, SL",1.78702287800007,41.4475655030001,"Sant Sadurní d'Anoia",12841,8240
"43",185,"Sant Sadurní d'Anoia(est)","L0710","Subirats - Sant Sadurní d'Anoia","Autocars Vendrell, SL",1.79447394400006,41.4207840490001,"Sant Sadurní d'Anoia",12841,8240
"44",187,"Sant Sadurní d'Anoia(est)","L1149","e18 La Llacuna-Sant Sadurní d'Anoia-Barcelona","La Hispano Llacunense, SL",1.79447394400006,41.4207840490001,"Sant Sadurní d'Anoia",12841,8240
"45",193,"Sant Sadurní d'Anoia(est)","L1365","T-BUS","La Hispano Llacunense, SL",1.79447394400006,41.4207840490001,"Sant Sadurní d'Anoia",12841,8240
"46",202,"Sant Sadurní d'Anoia(est)","L1559","Barcelona - Sant Sadurní d'Anoia (N41)","Soler i Sauret, SA",1.79447394400006,41.4207840490001,"Sant Sadurní d'Anoia",12841,8240
"47",206,"Sant Sadurní d'Anoia(est)","L1568","Barcelona-Vilafranca del Penedès-els Monjos (N42)","La Hispano Igualadina, SAU",1.79447394400006,41.4207840490001,"Sant Sadurní d'Anoia",12841,8240
"48",210,"Sant Sadurní d'Anoia(est)","L1717","Urbà de Piera: Piera-Sant Sadurní d'Anoia (P20)","Montferri Hermanos, SL",1.79447394400006,41.4207840490001,"Sant Sadurní d'Anoia",12841,8240
"49",211,"Sant Sadurní d'Anoia(est)","L1718","Urbà de Piera: Piera-Sant Sadurní d'Anoia (P90)","Montferri Hermanos, SL",1.79447394400006,41.4207840490001,"Sant Sadurní d'Anoia",12841,8240
"50",212,"Vilarnau","L0562","Piera - Vilarnau - Sant Sadurní d'Anoia","La Hispano Llacunense, SL",1.78228317400004,41.4334280200001,"Sant Sadurní d'Anoia",12841,8240
"51",214,"Vilarnau","L1365","T-BUS","La Hispano Llacunense, SL",1.78228317400004,41.4334280200001,"Sant Sadurní d'Anoia",12841,8240
"52",224,"cruïlla Can Catassús","L0562","Piera - Vilarnau - Sant Sadurní d'Anoia","La Hispano Llacunense, SL",1.78730905000003,41.445055488,"Sant Sadurní d'Anoia",12841,8240
"53",226,"cruïlla Can Catassús","L1365","T-BUS","La Hispano Llacunense, SL",1.78730905000003,41.445055488,"Sant Sadurní d'Anoia",12841,8240
"54",236,"Can Benet, cruïlla","L0562","Piera - Vilarnau - Sant Sadurní d'Anoia","La Hispano Llacunense, SL",1.78903372400003,41.459170047,"Sant Sadurní d'Anoia",12841,8240
"55",238,"Can Benet, cruïlla","L1365","T-BUS","La Hispano Llacunense, SL",1.78903372400003,41.459170047,"Sant Sadurní d'Anoia",12841,8240
"56",248,"Ajuntament de Marganell","L0471","Manresa - Marganell","Transbages, SL",1.78894300500002,41.640689782,"Marganell",266,8242
"57",250,"Santa Cecília (Marganell)","L0809","Vilafranca del Penedès-Monestir de Montserrat","La Hispano Igualadina, SAU",1.81725558700003,41.611144344,"Marganell",266,8242
"58",252,"Santa Eulàlia de Riuprimer","L0675","Muntanyola-Santa Eulàlia de Riuprimer-Vic","25 Osona Bus, SA",2.18812448400007,41.910483051,"Santa Eulàlia de Riuprimer",1383,8247
"59",260,"Santa Eulàlia de Riuprimer","L1356","Artés - Avinyó - Vic","Transportes Castellà, SA",2.18812448400007,41.910483051,"Santa Eulàlia de Riuprimer",1383,8247
"60",262,"ctra. Bigues - la Sagrera (D)","L0118","Barcelona - Riells del Fai (per autopista)","Empresa Sagalés, SA",2.23029912800007,41.651149043,"Santa Eulàlia de Ronçana",7426,8248
"61",267,"ctra. Bigues - la Sagrera (D)","L0505","Moià-Sant Feliu-Caldes de Montbui-Granollers","Ferrocarriles y Transportes, SA",2.23029912800007,41.651149043,"Santa Eulàlia de Ronçana",7426,8248
"62",270,"ctra. Bigues - la Sagrera (D)","L1207","Granollers - Santa Eulàlia - Caldes de Montbui","Empresa Sagalés, SA",2.23029912800007,41.651149043,"Santa Eulàlia de Ronçana",7426,8248
"63",271,"ctra. Bigues - la Sagrera (D)","L1230","Barcelona - Riells del Fai (per carretera)","Empresa Sagalés, SA",2.23029912800007,41.651149043,"Santa Eulàlia de Ronçana",7426,8248
"64",274,"ctra. Bigues - la Sagrera (D)","L1428","Bigues i Riells - Granollers","Empresa Sagalés, SA",2.23029912800007,41.651149043,"Santa Eulàlia de Ronçana",7426,8248
"65",275,"ctra. Bigues - la Sagrera (D)","L1614","e7 la Vall del Tenes - Barcelona","Empresa Sagalés, SA",2.23029912800007,41.651149043,"Santa Eulàlia de Ronçana",7426,8248
"66",277,"Santa Fe del Penedès","L0374","Igualada-Barcelona per Vilafranca del Penedès","La Hispano Igualadina, SAU",1.72022333200005,41.3835293500001,"Santa Fe del Penedès",367,8249
"67",280,"Santa Fe del Penedès","L0666","Sant Quintí de Mediona-Vilafranca-Barcelona","La Hispano Igualadina, SAU",1.72022333200005,41.3835293500001,"Santa Fe del Penedès",367,8249
"68",288,"Porquerisses","L0361","Guissona - Igualada - Barcelona","La Hispano Igualadina, SAU",1.45556741300004,41.6251555800001,"Argençola",219,8008
"69",292,"Porquerisses","L0101","Barcelona - Lleida","SA Alsina Graells de Auto Transportes",1.45556741300004,41.6251555800001,"Argençola",219,8008
"70",298,"El Saió","L0183","les Borges Blanques-Guimerà-Igualada-Barcelona","La Hispano Igualadina, SAU",1.56452096400005,41.5821727740001,"Santa Margarida de Montbui",10225,8250
"71",304,"El Saió","L0381","Igualada - Tarragona","La Hispano Igualadina, SAU",1.56452096400005,41.5821727740001,"Santa Margarida de Montbui",10225,8250
"72",308,"Cal Rubió","L0405","el Maset dels Cosins - Vilafranca del Penedès","Bus Castellví, SA",1.64829853000003,41.334418407,"Santa Margarida i els Monjos",7676,8251
"73",314,"la Ràpita del Penedès","L0387","la Múnia - Vilafranca del Penedès","Bus Castellví, SA",1.64691947600005,41.309235503,"Santa Margarida i els Monjos",7676,8251
"74",315,"la Ràpita del Penedès","L0256","Coma-ruga - el Vendrell - Barcelona","La Hispano Igualadina, SAU",1.64691947600005,41.309235503,"Santa Margarida i els Monjos",7676,8251
"75",318,"la Ràpita del Penedès","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.64691947600005,41.309235503,"Santa Margarida i els Monjos",7676,8251
"76",321,"Trespins (enllaç)","L0387","la Múnia - Vilafranca del Penedès","Bus Castellví, SA",1.64571315200004,41.313842123,"Santa Margarida i els Monjos",7676,8251
"77",323,"Monjos, Els (La Pista)","L0256","Coma-ruga - el Vendrell - Barcelona","La Hispano Igualadina, SAU",1.66521636700003,41.322329778,"Santa Margarida i els Monjos",7676,8251
"78",326,"Monjos, Els (La Pista)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.66521636700003,41.322329778,"Santa Margarida i els Monjos",7676,8251
"79",329,"Monjos, Els (La Pista)","L1568","Barcelona-Vilafranca del Penedès-els Monjos (N42)","La Hispano Igualadina, SAU",1.66521636700003,41.322329778,"Santa Margarida i els Monjos",7676,8251
"80",332,"Monjos, Els (Esglèsia)","L0387","la Múnia - Vilafranca del Penedès","Bus Castellví, SA",1.66172508100004,41.320109437,"Santa Margarida i els Monjos",7676,8251
"81",334,"Monjos, Els (Esglèsia)","L0256","Coma-ruga - el Vendrell - Barcelona","La Hispano Igualadina, SAU",1.66172508100004,41.320109437,"Santa Margarida i els Monjos",7676,8251
"82",338,"Monjos, Els (Esglèsia)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.66172508100004,41.320109437,"Santa Margarida i els Monjos",7676,8251
"83",345,"Monjos, Els (Esglèsia)","L1568","Barcelona-Vilafranca del Penedès-els Monjos (N42)","La Hispano Igualadina, SAU",1.66172508100004,41.320109437,"Santa Margarida i els Monjos",7676,8251
"84",351,"la Ràpita","L0069","Balaguer - Tàrrega - Barcelona","SA Alsina Graells de Auto Transportes",0.841065912000033,41.781494233,"Vallfogona de Balaguer",1906,25240
"85",352,"la Ràpita","L0056","Balaguer - Tàrrega","SA Alsina Graells de Auto Transportes",0.841065912000033,41.781494233,"Vallfogona de Balaguer",1906,25240
"86",354,"la Ràpita","L0972","Balaguer - Mollerussa","SA Alsina Graells de Auto Transportes",0.841065912000033,41.781494233,"Vallfogona de Balaguer",1906,25240
"87",355,"Baricentro","L1008","Urbà de Barberà: pl. d'Espanya-Baricentro","Marfina Bus, SA",2.13642477800005,41.5078619700001,"Ripollet",39179,8180
"88",359,"Santa Maria de Besora","L0668","Sant Quirze de Besora-Vidrà","25 Osona Bus, SA",2.25833400500005,42.1268992390001,"Santa Maria de Besora",161,8253
"89",361,"Sant Martí Sescorts","L1274","Rupit-l'Esquirol-Manlleu-Roda de Ter-Vic (SC)","25 Osona Bus, SA",2.32578779000005,42.0134823770001,"L'Esquirol",2186,8254
"90",367,"Santa Maria de Merlès","L1596","Berga - Prats de Lluçanès","Transbages, SL",1.97820126900007,42.0010703030001,"Santa Maria de Merlès",184,8255
"91",368,"la Vilalta","L1596","Berga - Prats de Lluçanès","Transbages, SL",1.98939547400005,42.0200830630001,"Santa Maria de Merlès",184,8255
"92",370,"pl. Joan Matons","L0509","Mollet del Vallès - Martorelles","CRA La Hispània, SA",2.25390290800004,41.519357804,"Santa Maria de Martorelles",890,8256
"93",374,"Rocabruna","L1356","Artés - Avinyó - Vic","Transportes Castellà, SA",2.10548978500003,41.899493324,"Santa Maria d'Oló",1024,8258
"94",376,"Palautordera (estació)","L0250","Circumval·lació Santa Maria de Palautordera","Cingles Bus, SA",2.45510837800003,41.6715838310001,"Santa Maria de Palautordera",9630,8259
"95",386,"av. la Serra - c. Monturiol","L0250","Circumval·lació Santa Maria de Palautordera","Cingles Bus, SA",2.45465622500006,41.68956891,"Santa Maria de Palautordera",9630,8259
"96",392,"Pont Trencat (Palautordera)","L0519","Montseny-Sant Celoni-Sant Pere de Vilamajor","Cingles Bus, SA",2.48569780400004,41.678615242,"Santa Maria de Palautordera",9630,8259
"97",396,"Pont Trencat (Palautordera)","L1268","Granollers - Sant Celoni","Cingles Bus, SA",2.48569780400004,41.678615242,"Santa Maria de Palautordera",9630,8259
"98",397,"Can Bosc (av. Vallès)","L0250","Circumval·lació Santa Maria de Palautordera","Cingles Bus, SA",2.45438916500007,41.661438375,"Santa Maria de Palautordera",9630,8259
"99",401,"Can Bosc (av. Vallès)","L0519","Montseny-Sant Celoni-Sant Pere de Vilamajor","Cingles Bus, SA",2.45438916500007,41.661438375,"Santa Maria de Palautordera",9630,8259
"100",409,"Can Bosc (av. Vallès)","L1268","Granollers - Sant Celoni","Cingles Bus, SA",2.45438916500007,41.661438375,"Santa Maria de Palautordera",9630,8259
"101",411,"ctra. Puigcerdà - c. Dotze (Benzinera)","L0102","Barcelona - Lliçà per carretera","Empresa Sagalés, SA",2.19599015600005,41.519525953,"Santa Perpètua de Mogoda",25999,8260
"102",413,"ctra. Puigcerdà - c. Dotze (Benzinera)","L0089","Barcelona-Mollet del Vallès-CIM Vallès","CRA La Hispània, SA",2.19599015600005,41.519525953,"Santa Perpètua de Mogoda",25999,8260
"103",415,"ctra. Puigcerdà - c. Dotze (Benzinera)","L0126","Barcelona - Santa Eulàlia de Ronçana","Empresa Sagalés, SA",2.19599015600005,41.519525953,"Santa Perpètua de Mogoda",25999,8260
"104",417,"ctra. Puigcerdà - c. Dotze (Benzinera)","L0082","Barcelona - Caldes de Montbui (N70)","Ferrocarriles y Transportes, SA",2.19599015600005,41.519525953,"Santa Perpètua de Mogoda",25999,8260
"105",419,"ctra. Puigcerdà - c. Dotze (Benzinera)","L0095","Barcelona - Granollers (N71)","Empresa Sagalés, SA",2.19599015600005,41.519525953,"Santa Perpètua de Mogoda",25999,8260
"106",422,"ctra. Puigcerdà - c. Dotze (Benzinera)","L1230","Barcelona - Riells del Fai (per carretera)","Empresa Sagalés, SA",2.19599015600005,41.519525953,"Santa Perpètua de Mogoda",25999,8260
"107",425,"Santa Susanna","L0552","Palafolls - Calella - Tordera","Barcelona Bus, SL",2.70752863400003,41.634258774,"Santa Susanna",3548,8261
"108",427,"Santa Susanna","L1494","Aeroport de Girona - Tossa de Mar","Barcelona Bus, SL",2.70752863400003,41.634258774,"Santa Susanna",3548,8261
"109",428,"Santa Susanna","L1582","Hospital de Blanes - Hospital de Calella","Barcelona Bus, SL",2.70752863400003,41.634258774,"Santa Susanna",3548,8261
"110",431,"Estació d'FGC Sant Vicenç-Vila (ctra.)","L0091","Barcelona - Esparreguera (N51)","La Hispano Igualadina, SAU",2.01389274000007,41.389114254,"Sant Vicenç dels Horts",28268,8263
