"","house.price","RP","crime","built.area","age","retired","children","immigrants","shopping","historical","baths","type.house","floor","good.cond","garage","elevator","air.cond","swimming.pool","M.30","longitude","latitude"
"11548",3571,0.26,0.41,70,40,20.7824152819573,12.6403244799163,13.4305900824284,0,0,2,"piso","primera","bueno","no","no","ZZZ","ZZZ",0,-3.656538,40.431302
"7700",3115,0.14,0.28,61,40,16.9485824548359,14.2042185577595,7.08064473299875,0,0,1,"piso","seg.-terc.","bueno","no","no","si","no",0,-3.721426,40.48234
"6271",2940,0.15,0.27,92,40,22.22093651161,13.0862840391885,7.95629869628944,0,0,2,"piso","seg.-terc.","a_reformar","no","si","no","no",0,-3.647869,40.40897
"1620",2811,0.2,0.35,65,40,12.3985863211007,16.4262375247283,6.55271288537198,0,0,1,"piso","cuar.-quinta","bueno","ZZZ","no","si","ZZZ",0,-3.7541182,40.374849
"3500",3808,0.17,0.3,130,15,20.7824152819573,12.6403244799163,13.4305900824284,0,0,2,"piso","seg.-terc.","bueno","no","si","ZZZ","si",0,-3.670743,40.481328
"1972",4407,0.22,0.53,75,7.5,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"atico","seg.-terc.","a_reformar","ZZZ","no","si","no",0,-3.731661,40.404804
"4135",3462,0.33,0.76,130,30,18.6782268954326,13.431372167504,17.8368933701206,1,1,2,"piso","seg.-terc.","bueno","no","si","ZZZ","no",1,-3.694925,40.410263
"3925",7540,0.21,0.28,63,0,20.7117330727654,12.7764832897155,7.36947118834004,1,1,1,"atico","cuar.-quinta","bueno","no","si","si","si",0,-3.679605,40.443142
"1859",2533,0.22,0.41,75,33.3997174930165,16.9864075695667,15.7803097218604,9.82035623733057,0,0,1,"piso","seg.-terc.","bueno","no","no","no","no",0,-3.60825,40.446278
"7588",3134,0.44,0.57,82,30.0416915938543,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"piso","primera","bueno","no","si","no","no",0,-3.694564,40.404596
"648",3333,0.14,0.43,90,40,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","sexta_o_mas","bueno","ZZZ","si","no","no",0,-3.759813,40.403317
"4130",5229,0.33,0.76,24,30,16.2444144382421,8.89722566365522,18.5726018625499,1,1,1,"estudio","ZZZ","bueno","no","no","no","no",0,-3.701538,40.409841
"3831",4583,0.44,0.55,42,10,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"atico","seg.-terc.","bueno","no","si","si","no",0,-3.68668,40.398488
"9530",4800,0.35,0.57,75,25.9501039512402,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"piso","primera","bueno","no","si","no","no",0,-3.6691555,40.396888
"10908",3343,0.13,0.18,350,15,18.7982210841953,14.2389070449109,8.04302415686803,1,0,5,"chalet","ZZZ","bueno","si","no","ZZZ","si",0,-3.7771859,40.471142
